goods,country,link,year,rank,trade_type,retrieved
tractors,Turkmenistan,/the-world-factbook/countries/turkmenistan,2019,5,imports,2023-03-31
refined petroleum,Turks and Caicos Islands,/the-world-factbook/countries/turks-and-caicos-islands,2019,1,imports,2023-03-31
cars,Turks and Caicos Islands,/the-world-factbook/countries/turks-and-caicos-islands,2019,2,imports,2023-03-31
jewelry,Turks and Caicos Islands,/the-world-factbook/countries/turks-and-caicos-islands,2019,3,imports,2023-03-31
furniture,Turks and Caicos Islands,/the-world-factbook/countries/turks-and-caicos-islands,2019,4,imports,2023-03-31
soybeans,Turks and Caicos Islands,/the-world-factbook/countries/turks-and-caicos-islands,2019,5,imports,2023-03-31
refined petroleum,Tuvalu,/the-world-factbook/countries/tuvalu,2019,1,imports,2023-03-31
fishing ships,Tuvalu,/the-world-factbook/countries/tuvalu,2019,2,imports,2023-03-31
tug boats,Tuvalu,/the-world-factbook/countries/tuvalu,2019,3,imports,2023-03-31
other ships,Tuvalu,/the-world-factbook/countries/tuvalu,2019,4,imports,2023-03-31
iron structures,Tuvalu,/the-world-factbook/countries/tuvalu,2019,5,imports,2023-03-31
packaged medicines,Uganda,/the-world-factbook/countries/uganda,2019,1,imports,2023-03-31
aircraft,Uganda,/the-world-factbook/countries/uganda,2019,2,imports,2023-03-31
delivery trucks,Uganda,/the-world-factbook/countries/uganda,2019,3,imports,2023-03-31
cars,Uganda,/the-world-factbook/countries/uganda,2019,4,imports,2023-03-31
wheat,Uganda,/the-world-factbook/countries/uganda,2019,5,imports,2023-03-31
refined petroleum,Ukraine,/the-world-factbook/countries/ukraine,2019,1,imports,2023-03-31
cars,Ukraine,/the-world-factbook/countries/ukraine,2019,2,imports,2023-03-31
packaged medicines,Ukraine,/the-world-factbook/countries/ukraine,2019,3,imports,2023-03-31
coal,Ukraine,/the-world-factbook/countries/ukraine,2019,4,imports,2023-03-31
natural gas,Ukraine,/the-world-factbook/countries/ukraine,2019,5,imports,2023-03-31
gold,United Arab Emirates,/the-world-factbook/countries/united-arab-emirates,2019,1,imports,2023-03-31
broadcasting equipment,United Arab Emirates,/the-world-factbook/countries/united-arab-emirates,2019,2,imports,2023-03-31
jewelry,United Arab Emirates,/the-world-factbook/countries/united-arab-emirates,2019,3,imports,2023-03-31
refined petroleum,United Arab Emirates,/the-world-factbook/countries/united-arab-emirates,2019,4,imports,2023-03-31
diamonds,United Arab Emirates,/the-world-factbook/countries/united-arab-emirates,2019,5,imports,2023-03-31
gold,United Kingdom,/the-world-factbook/countries/united-kingdom,2019,1,imports,2023-03-31
cars,United Kingdom,/the-world-factbook/countries/united-kingdom,2019,2,imports,2023-03-31
crude petroleum,United Kingdom,/the-world-factbook/countries/united-kingdom,2019,3,imports,2023-03-31
refined petroleum,United Kingdom,/the-world-factbook/countries/united-kingdom,2019,4,imports,2023-03-31
broadcasting equipment,United Kingdom,/the-world-factbook/countries/united-kingdom,2019,5,imports,2023-03-31
cars,United States,/the-world-factbook/countries/united-states,2019,1,imports,2023-03-31
crude petroleum,United States,/the-world-factbook/countries/united-states,2019,2,imports,2023-03-31
computers,United States,/the-world-factbook/countries/united-states,2019,3,imports,2023-03-31
broadcasting equipment,United States,/the-world-factbook/countries/united-states,2019,4,imports,2023-03-31
packaged medicines,United States,/the-world-factbook/countries/united-states,2019,5,imports,2023-03-31
crude petroleum,Uruguay,/the-world-factbook/countries/uruguay,2019,1,imports,2023-03-31
packaged medicines,Uruguay,/the-world-factbook/countries/uruguay,2019,2,imports,2023-03-31
cars,Uruguay,/the-world-factbook/countries/uruguay,2019,3,imports,2023-03-31
broadcasting equipment,Uruguay,/the-world-factbook/countries/uruguay,2019,4,imports,2023-03-31
delivery trucks,Uruguay,/the-world-factbook/countries/uruguay,2019,5,imports,2023-03-31
cars and vehicle parts,Uzbekistan,/the-world-factbook/countries/uzbekistan,2019,1,imports,2023-03-31
packaged medicines,Uzbekistan,/the-world-factbook/countries/uzbekistan,2019,2,imports,2023-03-31
refined petroleum,Uzbekistan,/the-world-factbook/countries/uzbekistan,2019,3,imports,2023-03-31
aircraft,Uzbekistan,/the-world-factbook/countries/uzbekistan,2019,4,imports,2023-03-31
construction vehicles,Uzbekistan,/the-world-factbook/countries/uzbekistan,2019,5,imports,2023-03-31
refined petroleum,Vanuatu,/the-world-factbook/countries/vanuatu,2019,1,imports,2023-03-31
fishing ships,Vanuatu,/the-world-factbook/countries/vanuatu,2019,2,imports,2023-03-31
delivery trucks,Vanuatu,/the-world-factbook/countries/vanuatu,2019,3,imports,2023-03-31
poultry meats,Vanuatu,/the-world-factbook/countries/vanuatu,2019,4,imports,2023-03-31
broadcasting equipment,Vanuatu,/the-world-factbook/countries/vanuatu,2019,5,imports,2023-03-31
refined petroleum,Venezuela,/the-world-factbook/countries/venezuela,2019,1,imports,2023-03-31
rice,Venezuela,/the-world-factbook/countries/venezuela,2019,2,imports,2023-03-31
corn,Venezuela,/the-world-factbook/countries/venezuela,2019,3,imports,2023-03-31
tires,Venezuela,/the-world-factbook/countries/venezuela,2019,4,imports,2023-03-31
soybean meal,Venezuela,/the-world-factbook/countries/venezuela,2019,5,imports,2023-03-31
wheat,Venezuela,/the-world-factbook/countries/venezuela,2019,6,imports,2023-03-31
integrated circuits,Vietnam,/the-world-factbook/countries/vietnam,2019,1,imports,2023-03-31
telephones,Vietnam,/the-world-factbook/countries/vietnam,2019,2,imports,2023-03-31
refined petroleum,Vietnam,/the-world-factbook/countries/vietnam,2019,3,imports,2023-03-31
textiles,Vietnam,/the-world-factbook/countries/vietnam,2019,4,imports,2023-03-31
semiconductors,Vietnam,/the-world-factbook/countries/vietnam,2019,5,imports,2023-03-31
refined petroleum,Virgin Islands,/the-world-factbook/countries/virgin-islands,2019,1,imports,2023-03-31
crude petroleum,Virgin Islands,/the-world-factbook/countries/virgin-islands,2019,2,imports,2023-03-31
rubber piping,Virgin Islands,/the-world-factbook/countries/virgin-islands,2019,3,imports,2023-03-31
jewelry,Virgin Islands,/the-world-factbook/countries/virgin-islands,2019,4,imports,2023-03-31
beer,Virgin Islands,/the-world-factbook/countries/virgin-islands,2019,5,imports,2023-03-31
refined petroleum,Wallis and Futuna,/the-world-factbook/countries/wallis-and-futuna,2019,1,imports,2023-03-31
beef products,Wallis and Futuna,/the-world-factbook/countries/wallis-and-futuna,2019,2,imports,2023-03-31
poultry meats,Wallis and Futuna,/the-world-factbook/countries/wallis-and-futuna,2019,3,imports,2023-03-31
engine parts,Wallis and Futuna,/the-world-factbook/countries/wallis-and-futuna,2019,4,imports,2023-03-31
packaged medicines,Wallis and Futuna,/the-world-factbook/countries/wallis-and-futuna,2019,5,imports,2023-03-31
food,West Bank,/the-world-factbook/countries/west-bank,,1,imports,2023-03-31
consumer goods,West Bank,/the-world-factbook/countries/west-bank,,2,imports,2023-03-31
construction materials,West Bank,/the-world-factbook/countries/west-bank,,3,imports,2023-03-31
petroleum,West Bank,/the-world-factbook/countries/west-bank,,4,imports,2023-03-31
chemicals,West Bank,/the-world-factbook/countries/west-bank,,5,imports,2023-03-31
wheat,Yemen,/the-world-factbook/countries/yemen,2019,1,imports,2023-03-31
refined petroleum,Yemen,/the-world-factbook/countries/yemen,2019,2,imports,2023-03-31
iron,Yemen,/the-world-factbook/countries/yemen,2019,3,imports,2023-03-31
rice,Yemen,/the-world-factbook/countries/yemen,2019,4,imports,2023-03-31
cars,Yemen,/the-world-factbook/countries/yemen,2019,5,imports,2023-03-31
copper,Zambia,/the-world-factbook/countries/zambia,2020,1,imports,2023-03-31
petroleum,Zambia,/the-world-factbook/countries/zambia,2020,2,imports,2023-03-31
fertilizers,Zambia,/the-world-factbook/countries/zambia,2020,3,imports,2023-03-31
packaged medicines,Zambia,/the-world-factbook/countries/zambia,2020,4,imports,2023-03-31
delivery trucks,Zambia,/the-world-factbook/countries/zambia,2020,5,imports,2023-03-31
refined petroleum,Zimbabwe,/the-world-factbook/countries/zimbabwe,2019,1,imports,2023-03-31
delivery trucks,Zimbabwe,/the-world-factbook/countries/zimbabwe,2019,2,imports,2023-03-31
packaged medicines,Zimbabwe,/the-world-factbook/countries/zimbabwe,2019,3,imports,2023-03-31
fertilizers,Zimbabwe,/the-world-factbook/countries/zimbabwe,2019,4,imports,2023-03-31
tractors,Zimbabwe,/the-world-factbook/countries/zimbabwe,2019,5,imports,2023-03-31
