link,country,amount,note,year,retrieved
/the-world-factbook/countries/iceland,Iceland,52200.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/iceland,Iceland,56900.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/india,India,6600.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/india,India,6100.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/india,India,6600.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/indonesia,Indonesia,11900.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/indonesia,Indonesia,11500.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/indonesia,Indonesia,11900.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/iran,Iran,15000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/iran,Iran,14400.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/iran,Iran,14100.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/iraq,Iraq,9000.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/iraq,Iraq,8900.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/iraq,Iraq,10300.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/ireland,Ireland,102500.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/ireland,Ireland,91100.0,data are in 2017 dollars,2020,2023-03-31
/the-world-factbook/countries/ireland,Ireland,86700.0,data are in 2017 dollars,2019,2023-03-31
/the-world-factbook/countries/isle-of-man,Isle of Man,84600.0,,2014,2023-03-31
/the-world-factbook/countries/isle-of-man,Isle of Man,86200.0,,2013,2023-03-31
/the-world-factbook/countries/isle-of-man,Isle of Man,73700.0,,2012,2023-03-31
/the-world-factbook/countries/israel,Israel,42100.0,data are in 2017 dollars,2021,2023-03-31
/the-world-factbook/countries/israel,Israel,39400.0,data are in 2017 dollars,2020,2023-03-31
